"id","nombre","categoria","precio_actual","moneda_actual","estado_precio","precio_base_usd","precio_paypal_calculado_usd","precio_venta_usd","archivo_fuente"
"tw-store-016","ASUS TUF VG249Q5R 23.8"", IPS FHD, 200Hz, parlante integrado","Monitores","{""precio_fuente"":469.5,""precio_tw_8"":507.06,""precio_tw_12"":525.84,""precio_tw_18"":554.01,""precio_publico"":525.84}","PEN","PRECIO_EN_PEN_REQUIERE_CONVERSION","","","","data/productos_store.json"
"tw-store-017","Samsung Odyssey G3 DG300 24"", FHD, 180Hz, 1ms, pivote","Monitores","{""precio_fuente"":459.0,""precio_tw_8"":495.72,""precio_tw_12"":514.08,""precio_tw_18"":541.62,""precio_publico"":514.08}","PEN","PRECIO_EN_PEN_REQUIERE_CONVERSION","","","","data/productos_store.json"
"tw-store-018","ViewSonic VX2429 24"", FHD, 200Hz, 1ms, parlante integrado","Monitores","{""precio_fuente"":417.5,""precio_tw_8"":450.9,""precio_tw_12"":467.6,""precio_tw_18"":492.65,""precio_publico"":467.6}","PEN","PRECIO_EN_PEN_REQUIERE_CONVERSION","","","","data/productos_store.json"
"tw-store-019","Gigabyte GS25F14 24.5"", IPS FHD, 144Hz, 1ms","Monitores","{""precio_fuente"":323.5,""precio_tw_8"":349.38,""precio_tw_12"":362.32,""precio_tw_18"":381.73,""precio_publico"":362.32}","PEN","PRECIO_EN_PEN_REQUIERE_CONVERSION","","","","data/productos_store.json"
"tw-store-020","Mac Mini M4 256GB SSD, 16GB RAM, CPU 10, GPU 10","Apple","{""precio_fuente"":3399.0,""precio_tw_8"":3670.92,""precio_tw_12"":3806.88,""precio_tw_18"":4010.82,""precio_publico"":3806.88}","PEN","PRECIO_EN_PEN_REQUIERE_CONVERSION","","","","data/productos_store.json"
"tw-store-021","MacBook Air 13 Chip M5, 512GB, 16GB RAM, teclado inglés","Apple","{""precio_fuente"":4499.0,""precio_tw_8"":4858.92,""precio_tw_12"":5038.88,""precio_tw_18"":5308.82,""precio_publico"":5038.88}","PEN","PRECIO_EN_PEN_REQUIERE_CONVERSION","","","","data/productos_store.json"
"tw-store-022","MacBook Air 15 Chip M5, 512GB, 16GB RAM, teclado inglés","Apple","{""precio_fuente"":5399.0,""precio_tw_8"":5830.92,""precio_tw_12"":6046.88,""precio_tw_18"":6370.82,""precio_publico"":6046.88}","PEN","PRECIO_EN_PEN_REQUIERE_CONVERSION","","","","data/productos_store.json"
"tw-store-023","MacBook Pro 14 M5, 1TB, 24GB RAM, teclado inglés","Apple","{""precio_fuente"":7990.0,""precio_tw_8"":8629.2,""precio_tw_12"":8948.8,""precio_tw_18"":9428.2,""precio_publico"":8948.8}","PEN","PRECIO_EN_PEN_REQUIERE_CONVERSION","","","","data/productos_store.json"
"tw-store-024","AirPods 4th Gen con cancelación activa de ruido","Apple","{""precio_fuente"":569.0,""precio_tw_8"":614.52,""precio_tw_12"":637.28,""precio_tw_18"":671.42,""precio_publico"":637.28}","PEN","PRECIO_EN_PEN_REQUIERE_CONVERSION","","","","data/productos_store.json"
"tw-store-025","AirPods Pro 3 2025","Apple","{""precio_fuente"":869.0,""precio_tw_8"":938.52,""precio_tw_12"":973.28,""precio_tw_18"":1025.42,""precio_publico"":973.28}","PEN","PRECIO_EN_PEN_REQUIERE_CONVERSION","","","","data/productos_store.json"
"tw-store-026","Apple Watch SE 2th Gen 44mm GPS","Apple","{""precio_fuente"":990.0,""precio_tw_8"":1069.2,""precio_tw_12"":1108.8,""precio_tw_18"":1168.2,""precio_publico"":1108.8}","PEN","PRECIO_EN_PEN_REQUIERE_CONVERSION","","","","data/productos_store.json"
"tw-store-027","iPad Air 11 Chip M4 256GB WiFi 2026 + Pencil Pro","Apple","{""precio_fuente"":3499.0,""precio_tw_8"":3778.92,""precio_tw_12"":3918.88,""precio_tw_18"":4128.82,""precio_publico"":3918.88}","PEN","PRECIO_EN_PEN_REQUIERE_CONVERSION","","","","data/productos_store.json"
"tw-store-028","iPad Pro 13 Chip M5 256GB WiFi 2025","Apple","{""precio_fuente"":4899.0,""precio_tw_8"":5290.92,""precio_tw_12"":5486.88,""precio_tw_18"":5780.82,""precio_publico"":5486.88}","PEN","PRECIO_EN_PEN_REQUIERE_CONVERSION","","","","data/productos_store.json"
"tw-store-029","PICO 4 ULTRA 256GB + 12GB RAM","Realidad Virtual","{""precio_fuente"":3199.0,""precio_tw_8"":3454.92,""precio_tw_12"":3582.88,""precio_tw_18"":3774.82,""precio_publico"":3582.88}","PEN","PRECIO_EN_PEN_REQUIERE_CONVERSION","","","","data/productos_store.json"
"tw-store-030","BOBOVR M3 PRO para Meta Quest 3","Realidad Virtual","{""precio_fuente"":279.0,""precio_tw_8"":301.32,""precio_tw_12"":312.48,""precio_tw_18"":329.22,""precio_publico"":312.48}","PEN","PRECIO_EN_PEN_REQUIERE_CONVERSION","","","","data/productos_store.json"
"tw-store-031","BOBOVR S3 PRO para Meta Quest 3S / Quest 3","Realidad Virtual","{""precio_fuente"":469.0,""precio_tw_8"":506.52,""precio_tw_12"":525.28,""precio_tw_18"":553.42,""precio_publico"":525.28}","PEN","PRECIO_EN_PEN_REQUIERE_CONVERSION","","","","data/productos_store.json"
"tw-store-032","MX Master 3S","Accesorios","{""precio_fuente"":389.0,""precio_tw_8"":420.12,""precio_tw_12"":435.68,""precio_tw_18"":459.02,""precio_publico"":435.68}","PEN","PRECIO_EN_PEN_REQUIERE_CONVERSION","","","","data/productos_store.json"
"tw-store-033","Apple Magic Trackpad USB-C 2024 blanco","Accesorios","{""precio_fuente"":599.0,""precio_tw_8"":646.92,""precio_tw_12"":670.88,""precio_tw_18"":706.82,""precio_publico"":670.88}","PEN","PRECIO_EN_PEN_REQUIERE_CONVERSION","","","","data/productos_store.json"
