# Cat?logo base TW Salud ? Tecprog World E.I.R.L.
# Codificaci?n: UTF-8
# L?nea completa: TW Salud y Vida - Pr?tesis y Tecnolog?a M?dica
# Nombre corto: TW Salud
# Separador: |
# Nota obligatoria: Los servicios de TW Salud se orientan a dise?o, prototipado, soporte t?cnico, accesibilidad e investigaci?n aplicada. La evaluaci?n cl?nica, prescripci?n, adaptaci?n m?dica y validaci?n de uso deben realizarse con profesionales de salud competentes cuando corresponda.
# Regla: no afirmar diagn?stico m?dico, prescripci?n, aprobaci?n cl?nica ni fabricaci?n de dispositivos m?dicos listos para uso cl?nico sin validaci?n competente.

id | linea | categoria | servicio_producto | tipo | descripcion_corta | publico_objetivo | modalidad | entregables | precio_peru_desde_soles | precio_internacional_desde_usd | estado | requiere_validacion_profesional | nota_tecnica
tw-salud-evaluacion-tecnica-vehiculos-inclusivos | TW Salud | Veh?culos inclusivos | Evaluaci?n t?cnica de veh?culos inclusivos | Evaluaci?n t?cnica | Revisi?n preliminar de necesidades mec?nicas, accesibilidad y seguridad para veh?culos o ayudas de movilidad inclusiva. | Usuarios, familias, instituciones, talleres aliados | Presencial coordinado | Ficha de evaluaci?n; requerimientos; lista de riesgos; ruta de trabajo | 149 | 60 | condicionado | s? | Debe coordinarse con t?cnicos habilitados y respetar normativa de transporte aplicable.
tw-salud-adaptacion-mecanica-soportes | TW Salud | Veh?culos inclusivos | Adaptaci?n mec?nica preliminar de soportes | Servicio t?cnico | Dise?o o ajuste preliminar de soportes mec?nicos para accesibilidad vehicular, sujeto a revisi?n de seguridad. | Usuarios, talleres, proyectos inclusivos | H?brido | Propuesta de soporte; plano b?sico; recomendaciones de fabricaci?n; advertencias de seguridad | 299 | 90 | prototipo | s? | No autoriza circulaci?n ni modifica homologaciones sin revisi?n profesional y normativa aplicable.
tw-salud-accesorios-accesibilidad-vehicular | TW Salud | Veh?culos inclusivos | Dise?o de accesorios de accesibilidad | Dise?o t?cnico | Dise?o t?cnico de accesorios de apoyo para ingreso, sujeci?n, organizaci?n o uso asistido en movilidad inclusiva. | Personas con discapacidad, cuidadores, instituciones | Remoto o h?brido | Boceto t?cnico; modelo simple; lista de materiales; recomendaciones de validaci?n | 149 | 60 | prototipo | s? | Accesorios deben probarse en condiciones seguras y con supervisi?n competente.
tw-salud-mantenimiento-preventivo-vehiculos-inclusivos | TW Salud | Veh?culos inclusivos | Mantenimiento preventivo de veh?culos inclusivos | Servicio t?cnico | Revisi?n preventiva de soportes, puntos de ajuste, sujeciones y accesorios de movilidad asistida. | Usuarios, familias, instituciones | Presencial coordinado | Checklist preventivo; reporte fotogr?fico; recomendaciones de taller; bit?cora | 149 | 60 | condicionado | s? | No reemplaza inspecci?n vehicular reglamentaria ni certificaci?n de modificaciones.
tw-salud-prototipos-movilidad-asistida | TW Salud | Veh?culos inclusivos | Prototipos de movilidad asistida | Prototipo no cl?nico | Prototipos educativos o experimentales para movilidad asistida, control, soporte o adaptaci?n mec?nica preliminar. | Universidades, makers, proyectos sociales, investigadores | H?brido | Prototipo no cl?nico; informe de iteraci?n; c?digo o planos si aplica; matriz de riesgos | 699 | 220 | prototipo | s? | Prototipo no apto para uso operativo sin pruebas, validaci?n profesional y revisi?n normativa.
tw-salud-pulsadores-accesibles | TW Salud | Accesibilidad y asistencia tecnol?gica | Dise?o de pulsadores accesibles | Prototipo de accesibilidad | Dise?o y prototipado de pulsadores accesibles para interacci?n con computadoras, juguetes adaptados o dispositivos de apoyo. | Personas con discapacidad, terapeutas, familias, instituciones educativas | H?brido | Prototipo; ficha de conexi?n; gu?a de uso; recomendaciones de seguridad | 299 | 90 | prototipo | s? | Debe probarse con acompa?amiento responsable y criterios de seguridad el?ctrica b?sica.
tw-salud-interfaces-control-accesibilidad | TW Salud | Accesibilidad y asistencia tecnol?gica | Interfaces de control para accesibilidad | Software/Hardware | Interfaces simples de control por botones, sensores o perif?ricos adaptados para accesibilidad y comunicaci?n. | Usuarios, terapeutas, docentes, laboratorios | H?brido | Demo funcional; configuraci?n; gu?a breve; recomendaciones de mejora | 699 | 220 | prototipo | s? | No reemplaza evaluaci?n terap?utica ni validaci?n de usabilidad con profesionales competentes.
tw-salud-adaptacion-perifericos-discapacidad | TW Salud | Accesibilidad y asistencia tecnol?gica | Adaptaci?n de perif?ricos para personas con discapacidad | Servicio t?cnico | Adaptaci?n preliminar de mouse, teclado, joystick u otros perif?ricos para mejorar acceso digital. | Personas con discapacidad, docentes, familias, instituciones | Presencial o remoto seg?n alcance | Perif?rico adaptado; configuraci?n; gu?a de uso; recomendaciones | 299 | 90 | vigente | s? | Toda adaptaci?n debe evaluarse con el usuario y profesionales de apoyo cuando corresponda.
tw-salud-prototipos-asistencia-comunicacion | TW Salud | Accesibilidad y asistencia tecnol?gica | Prototipos de asistencia para comunicaci?n | Software/Prototipo | Prototipos de comunicaci?n alternativa, tableros digitales o interfaces simples para apoyo comunicativo. | Personas con limitaci?n motora o comunicativa, familias, terapeutas, docentes | Remoto o h?brido | Interfaz web o app simple; configuraci?n inicial; gu?a; reporte de iteraci?n | 699 | 220 | prototipo | s? | Herramienta de apoyo no cl?nica; requiere validaci?n de uso con profesionales competentes.
tw-salud-automatizacion-dispositivos-apoyo | TW Salud | Accesibilidad y asistencia tecnol?gica | Automatizaci?n de dispositivos de apoyo | Proyecto t?cnico | Automatizaci?n experimental de dispositivos de apoyo mediante microcontroladores, sensores o actuadores de bajo riesgo. | Laboratorios, makers, instituciones, proyectos inclusivos | H?brido | Prototipo; c?digo; diagrama; matriz b?sica de riesgos; recomendaciones | 699 | 220 | prototipo | s? | No usar en condiciones cr?ticas o de seguridad personal sin validaci?n profesional y pruebas adecuadas.
tw-salud-introduccion-eeg-aplicado | TW Salud | EEG y Brain Computer Interface | Introducci?n a EEG aplicado | Capacitaci?n | Capacitaci?n introductoria sobre fundamentos de EEG no invasivo, adquisici?n, artefactos y aplicaciones educativas. | Estudiantes, docentes, investigadores, makers | Virtual o presencial coordinado | Sesi?n formativa; notebook de ejemplo; bibliograf?a inicial; gu?a de seguridad | 149 | 49 | vigente | no | Contenido educativo; no interpreta se?ales con fines diagn?sticos m?dicos.
tw-salud-prototipos-educativos-bci | TW Salud | EEG y Brain Computer Interface | Prototipos educativos de BCI | Curso/Proyecto | Desarrollo de demos educativas de Brain Computer Interface usando se?ales o datasets no invasivos. | Estudiantes, universidades, laboratorios educativos | H?brido | Demo conceptual; c?digo Python; reporte de resultados; recomendaciones de mejora | 299 | 90 | prototipo | s? | Prototipo educativo; no apto para control cr?tico ni uso cl?nico.
tw-salud-procesamiento-basico-eeg | TW Salud | EEG y Brain Computer Interface | Procesamiento b?sico de se?ales EEG | Servicio educativo | Procesamiento b?sico de se?ales EEG con filtrado, visualizaci?n y extracci?n simple de caracter?sticas para aprendizaje. | Estudiantes, tesistas, investigadores iniciales | Remoto | Scripts Python; notebook; gr?ficos; explicaci?n t?cnica | 299 | 90 | vigente | no | No se entrega interpretaci?n diagn?stica ni conclusi?n m?dica.
tw-salud-clasificacion-senales-biomedicas | TW Salud | EEG y Brain Computer Interface | Clasificaci?n b?sica de se?ales biom?dicas | Servicio educativo | Clasificaci?n b?sica con Python de se?ales biom?dicas o datasets abiertos para proyectos educativos y exploratorios. | Estudiantes, tesistas, docentes, equipos de I+D | Remoto | Notebook; modelo base; m?tricas; recomendaciones metodol?gicas | 299 | 90 | vigente | no | Resultados exploratorios; no usar para decisi?n cl?nica.
tw-salud-interfaces-experimentales-accesibilidad | TW Salud | EEG y Brain Computer Interface | Interfaces experimentales de accesibilidad | Prototipo experimental | Interfaces experimentales para accesibilidad usando se?ales, botones, sensores o clasificadores b?sicos. | Laboratorios, proyectos inclusivos, universidades | H?brido | Demo; c?digo; reporte de pruebas; matriz b?sica de riesgos | 699 | 220 | prototipo | s? | Requiere evaluaci?n de usabilidad, seguridad y profesionales competentes antes de uso real.
tw-salud-python-bci | TW Salud | EEG y Brain Computer Interface | Programaci?n de prototipos BCI con Python | Capacitaci?n/Proyecto | Programaci?n de prototipos BCI con Python para adquisici?n simulada, procesamiento, visualizaci?n y control experimental. | Estudiantes, investigadores, desarrolladores | Virtual o h?brido | Sesiones; notebooks; scripts; demo conceptual; gu?a de instalaci?n | 299 | 90 | vigente | no | Formaci?n t?cnica independiente, no certificaci?n cl?nica ni validaci?n sanitaria.
tw-salud-revision-tecnologica-dialisis | TW Salud | Investigaci?n aplicada en salud | Revisi?n tecnol?gica de soluciones para di?lisis | Investigaci?n aplicada | Revisi?n documental y tecnol?gica de soluciones de apoyo relacionadas con di?lisis, calidad de vida y seguimiento no cl?nico. | Investigadores, estudiantes, instituciones, familias, proyectos sociales | Remoto | Informe documental; matriz comparativa; referencias; oportunidades de I+D | 699 | 220 | vigente | s? | No propone tratamiento ni reemplaza criterio nefrol?gico; enfoque documental y tecnol?gico.
tw-salud-prototipos-monitoreo-no-clinico | TW Salud | Investigaci?n aplicada en salud | Prototipos de monitoreo no cl?nico | Prototipo no cl?nico | Prototipos de registro o seguimiento informativo de variables de apoyo, h?bitos o adherencia no diagn?stica. | Pacientes con acompa?amiento, cuidadores, investigadores, instituciones | H?brido | Prototipo web o hardware; ficha de variables; reporte de pruebas; advertencias | 699 | 220 | prototipo | s? | No mide, diagnostica ni alerta cl?nicamente sin validaci?n profesional y regulatoria.
tw-salud-sensores-variables-apoyo | TW Salud | Investigaci?n aplicada en salud | Sensores para seguimiento de variables de apoyo | Prototipo educativo | Integraci?n educativa de sensores para variables ambientales o de apoyo en proyectos de salud digital no cl?nica. | Estudiantes, laboratorios, proyectos de innovaci?n | H?brido | Prototipo; c?digo; diagrama; registro de datos; recomendaciones | 699 | 220 | prototipo | s? | Datos orientativos para aprendizaje o investigaci?n; no usar como medici?n cl?nica.
tw-salud-dashboards-proyectos-salud | TW Salud | Investigaci?n aplicada en salud | Dashboards para proyectos de salud | Software/Servicio | Dashboards informativos para organizar datos de proyectos de salud, mantenimiento, h?bitos o investigaci?n aplicada. | Instituciones, investigadores, consultorios, equipos de proyecto | Remoto | Dashboard; formularios; gr?ficos; gu?a de uso; documentaci?n | 699 | 220 | vigente | no | Herramienta informativa; no genera diagn?stico ni recomendaci?n m?dica autom?tica.
tw-salud-analisis-documental-biomedicas | TW Salud | Investigaci?n aplicada en salud | An?lisis documental de tecnolog?as biom?dicas | Investigaci?n aplicada | An?lisis t?cnico-documental de tecnolog?as biom?dicas, tendencias, riesgos, componentes y oportunidades de prototipado. | Tesistas, investigadores, emprendedores, docentes | Remoto | Informe; matriz de tecnolog?as; referencias; recomendaciones de factibilidad | 299 | 90 | vigente | no | An?lisis documental sin certificaci?n regulatoria ni validaci?n cl?nica.
tw-salud-factibilidad-tecnica-salud | TW Salud | Investigaci?n aplicada en salud | Estudios de factibilidad t?cnica | Consultor?a t?cnica | Evaluaci?n de factibilidad t?cnica para ideas, prototipos o proyectos de tecnolog?a de asistencia y salud digital. | Emprendedores, instituciones, investigadores, proyectos sociales | Remoto o h?brido | Informe de factibilidad; alcance; riesgos; ruta de prototipado; estimaci?n preliminar | 699 | 220 | vigente | s? | La factibilidad t?cnica no implica autorizaci?n sanitaria ni aprobaci?n de uso cl?nico.
